AMZN,Open,High,Low,Close,Volume,10 day average,20 day average,50 day average,Daily Return
2019-04-22,1855.4,1888.42,1845.64,1887.31,3373806,1854.1889999999999,1826.2395000000001,1731.1612,0.01376168964757829
2019-04-23,1891.2,1929.26,1889.58,1923.77,4640440,1861.58,1833.7149999999997,1737.8722,0.019318500935193494
2019-04-24,1925.0,1929.69,1898.16,1901.75,3675780,1868.1709999999998,1839.6145000000001,1744.0872,-0.011446274762575537
2019-04-25,1917.004,1922.45,1900.31,1902.25,6099100,1873.663,1846.4419999999998,1749.372,0.0002629157355067413
2019-04-26,1929.0,1951.0,1898.0,1950.63,8432562,1884.3190000000002,1855.3025000000002,1755.5846,0.025433039821264325
2019-04-29,1949.0,1956.335,1934.09,1938.43,4021254,1893.8560000000002,1863.1865000000003,1761.9002000000003,-0.006254389607460165
2019-04-30,1930.1,1935.71,1906.95,1926.52,3506006,1902.021,1868.8029999999999,1768.2715999999998,-0.006144147583353576
2019-05-01,1933.09,1943.64,1910.55,1911.52,3116963,1906.869,1873.6799999999998,1773.9503999999997,-0.0077860598384652535
2019-05-02,1913.33,1921.55,1881.87,1900.82,3962914,1910.4689999999998,1877.6859999999997,1779.5248000000001,-0.005597639574788649
2019-05-03,1949.0,1964.4,1936.0,1962.46,6381563,1920.5460000000003,1884.866,1786.3852,0.03242810997359036
2019-05-06,1917.98,1959.0,1910.5,1950.55,5417840,1926.8700000000001,1890.5294999999999,1792.765,-0.006068913506517393
2019-05-07,1939.99,1949.1,1903.38,1921.0,5902133,1926.593,1894.0865,1798.525,-0.015149573197303257
2019-05-08,1918.87,1935.37,1910.0,1917.77,4078567,1928.1950000000002,1898.1830000000002,1804.1524,-0.0016814159292035669
2019-05-09,1900.0,1909.4,1876.0,1899.87,5308262,1927.9569999999999,1900.81,1809.328,-0.009333757437023249
2019-05-10,1898.0,1903.79,1856.0,1889.98,5717993,1921.8919999999998,1903.1055000000001,1814.3309999999997,-0.005205619331848932
2019-05-13,1836.56,1846.535,1818.0,1822.68,5783409,1910.3169999999998,1902.0865000000001,1817.35,-0.035608842421612885
2019-05-14,1839.5,1852.44,1815.75,1840.12,4629106,1901.6770000000001,1901.8489999999997,1820.229,0.009568327956635203
2019-05-15,1827.95,1874.427,1823.0,1871.15,4692641,1897.64,1902.2544999999998,1823.8034,0.01686303067191286
2019-05-16,1885.94,1917.51,1882.29,1907.57,4707821,1898.315,1904.3919999999998,1828.5757999999998,0.019463966010207612
2019-05-17,1893.05,1910.53,1867.33,1869.0,4736617,1888.9689999999998,1904.7575000000002,1833.4368,-0.020219441488385725
2019-05-20,1852.69,1867.78,1835.54,1858.97,3798197,1879.8110000000001,1903.3404999999998,1838.2002,-0.005366506153023032
2019-05-21,1874.79,1879.0,1846.0,1857.52,4005121,1873.4630000000002,1900.0280000000002,1841.9382,-0.0007800018289698674
2019-05-22,1851.78,1871.485,1851.0,1859.68,2936600,1867.654,1897.9245000000003,1845.6698,0.0011628407769499471
2019-05-23,1836.59,1844.0,1804.2,1815.48,4424264,1859.2150000000001,1893.586,1848.1632,-0.023767529897616768
2019-05-24,1835.89,1841.76,1817.851,1823.28,3369672,1852.545,1887.2184999999997,1850.9044000000001,0.004296384427258992
2019-05-28,1832.75,1849.267,1827.35,1836.43,3199964,1853.92,1882.1184999999998,1853.3857999999998,0.007212276775920401
2019-05-29,1823.12,1830.0,1807.533,1819.19,4279024,1851.827,1876.752,1854.9266,-0.009387779550541042
2019-05-30,1825.49,1829.47,1807.825,1816.32,3146849,1846.3439999999998,1871.9920000000002,1856.0159999999998,-0.001577625206822919
2019-05-31,1790.01,1795.585,1772.703,1775.07,4618818,1833.0939999999998,1865.7045000000003,1855.5720000000001,-0.022710755813953543
2019-06-03,1760.01,1766.29,1672.0,1692.69,9098707,1815.4630000000002,1852.216,1853.0406,-0.0464094373743007
2019-06-04,1699.24,1730.82,1680.89,1729.56,5679120,1802.5220000000002,1841.1665,1852.3364000000001,0.021781897453166277
2019-06-05,1749.6,1752.0,1715.251,1738.5,4239781,1790.6200000000001,1832.0415,1851.6212,0.005168944702699019
2019-06-06,1737.71,1760.0,1726.13,1754.36,3689271,1780.0880000000002,1823.8709999999999,1851.0332,0.009122807017543755
2019-06-07,1763.7,1806.254,1759.49,1804.03,4808245,1778.943,1819.0790000000002,1851.7998,0.028312319022321564
2019-06-10,1822.0,1884.87,1818.0,1860.63,5371006,1782.6779999999999,1817.6114999999998,1853.5439999999999,0.03137420109421685
2019-06-11,1883.25,1893.7,1858.0,1863.7,4042693,1785.405,1819.6625,1855.203,0.001649978770631444
2019-06-12,1853.98,1865.0,1844.38,1855.32,2678334,1789.018,1820.4225000000001,1856.0256,-0.004496431829157155
2019-06-13,1866.72,1883.09,1862.22,1870.3,2795809,1794.416,1820.3799999999999,1857.1519999999998,0.008074078865101475
2019-06-14,1864.0,1876.0,1859.0,1869.67,2851162,1803.8759999999997,1818.4850000000001,1858.1313999999998,-0.00033684435652026057
2019-06-17,1876.5,1895.688,1875.45,1886.03,2634341,1823.2100000000003,1819.3365000000001,1859.4747999999997,0.00875020725582587
2019-06-18,1901.35,1921.67,1899.79,1901.37,3895727,1840.391,1821.4564999999998,1860.7566,0.008133486741992435
2019-06-19,1907.84,1919.581,1892.47,1908.79,2895346,1857.42,1824.0199999999998,1861.9352,0.0039024492865671334
2019-06-20,1933.33,1935.2,1905.8,1918.19,3217152,1873.8029999999999,1826.9455000000003,1863.5822,0.004924585732322573
2019-06-21,1916.1,1925.95,1907.58,1911.3,3933575,1884.53,1831.7365000000002,1864.8616,-0.0035919278069430627
2019-06-24,1912.66,1916.86,1901.3,1913.9,2282968,1889.857,1836.2675,1866.2582,0.0013603306649925262
2019-06-25,1911.84,1916.385,1872.42,1878.27,3012346,1891.3139999999999,1838.3595,1866.9624,-0.01861643764042009
2019-06-26,1892.48,1903.8,1887.32,1897.83,2441909,1895.5649999999998,1842.2915,1868.0216,0.010413838266063902
2019-06-27,1902.0,1911.24,1898.04,1904.28,2141720,1898.9629999999997,1846.6895,1868.8464000000001,0.0033986184220926585
2019-06-28,1909.1,1912.94,1884.0,1893.63,3037357,1901.359,1852.6174999999998,1869.4226,-0.00559266494423083
2019-07-01,1922.98,1929.82,1914.66,1922.19,3203346,1904.975,1864.0925,1870.6326,0.015082143819014293
2019-07-02,1919.38,1934.79,1906.63,1934.31,2651298,1908.2689999999998,1874.33,1871.5726000000002,0.00630530800805329
2019-07-03,1935.89,1941.59,1930.5,1939.0,1690294,1911.2899999999997,1884.355,1871.8772,0.002424637209134106
2019-07-05,1928.6,1945.9,1925.3,1942.91,2628358,1913.762,1893.7825,1872.7003999999997,0.0020165033522434594
2019-07-08,1934.12,1956.0,1928.253,1952.32,2883370,1917.864,1901.1970000000001,1873.7017999999998,0.004843250588035364
2019-07-09,1947.8,1990.01,1943.475,1988.3,4345697,1925.304,1907.5805,1874.4552,0.018429355843304407
2019-07-10,1996.51,2024.94,1995.4,2017.41,4931901,1939.218,1915.266,1876.0348,0.014640647789569083
2019-07-11,2025.62,2035.8,1995.3,2001.07,4317765,1949.5420000000001,1922.5535,1877.5258000000001,-0.008099493905552202
2019-07-12,2008.27,2017.0,2003.87,2011.0,2509296,1960.214,1929.5885000000003,1879.5154,0.004962345145347324
2019-07-15,2021.4,2022.9,2001.55,2020.99,2981342,1972.95,1937.1544999999999,1881.9188000000001,0.00496767777225271
2019-07-16,2010.58,2026.32,2001.22,2009.9,2618197,1981.721,1943.348,1882.8676,-0.005487409635871465
2019-07-17,2007.05,2012.0,1992.03,1992.03,2558808,1987.493,1947.881,1883.6972,-0.00889098960147272
2019-07-18,1980.01,1987.5,1951.55,1977.9,3504251,1991.3830000000003,1951.3365000000001,1884.8352,-0.007093266667670628
2019-07-19,1991.21,1996.0,1962.225,1964.52,3185611,1993.5440000000003,1953.6529999999998,1885.7702,-0.006764750492947114
2019-07-22,1971.14,1989.0,1958.26,1985.63,2908110,1996.875,1957.3695,1887.4854,0.010745627430619242
2019-07-23,1995.99,1997.79,1973.13,1994.49,2703479,1997.494,1961.3990000000001,1889.5756,0.004462059900384174
2019-07-24,1969.3,2001.3,1965.87,2000.81,2631299,1995.834,1967.5259999999998,1893.1382,0.003168729850738794
2019-07-25,2001.0,2001.2,1972.72,1973.82,4136460,1993.109,1971.3254999999997,1895.8122,-0.013489536737621322
2019-07-26,1942.0,1950.895,1924.51,1943.05,4927142,1986.3139999999999,1973.264,1897.2502,-0.015589060805949906
2019-07-29,1930.0,1932.226,1890.54,1912.45,4493189,1975.4600000000003,1974.205,1897.3478,-0.01574843673605919
2019-07-30,1891.115,1909.89,1883.48,1898.53,2910887,1964.3229999999999,1973.0220000000002,1897.9384,-0.007278621663311502
2019-07-31,1898.11,1899.55,1849.44,1866.78,4470726,1951.798,1969.6455,1898.0946,-0.0167234649966026
2019-08-01,1871.72,1897.92,1844.01,1855.32,4713310,1939.5399999999997,1965.4615000000001,1898.0506,-0.0061389129945682575
2019-08-02,1845.07,1846.363,1808.02,1823.24,4956224,1925.4119999999998,1959.4779999999998,1897.3218,-0.01729081775650554
2019-08-05,1770.22,1788.668,1748.78,1765.13,6058211,1903.3620000000003,1950.1184999999998,1896.3147999999999,-0.03187183256181303
2019-08-06,1792.23,1793.77,1753.4,1787.83,5070257,1882.696,1940.095,1895.6057999999998,0.012860242588364601
2019-08-07,1773.99,1798.93,1757.0,1793.4,4526883,1861.955,1928.8944999999999,1894.7451999999998,0.003115508745238804
2019-08-08,1806.0,1834.26,1798.11,1832.89,3701241,1847.8619999999999,1920.4855,1895.0191999999997,0.02201962752314035
2019-08-09,1828.95,1831.091,1802.22,1807.58,2879769,1834.315,1910.3145,1894.8444,-0.013808793762855487
2019-08-12,1795.99,1800.98,1777.0,1784.92,2905497,1821.562,1898.511,1895.0414,-0.012536097987364214
2019-08-13,1783.0,1831.743,1780.0,1824.34,4075020,1814.143,1889.2329999999997,1897.6744,0.02208502341841645
2019-08-14,1793.01,1795.651,1757.215,1762.96,4893648,1803.761,1877.7795,1898.3424,-0.03364504423517545
2019-08-15,1781.99,1788.0,1761.96,1776.12,3809947,1795.841,1867.6905,1899.0948,0.007464718428098038
2019-08-16,1792.89,1802.908,1784.55,1792.57,3054239,1792.774,1859.093,1899.859,0.009261761592685103
2019-08-19,1818.08,1826.0,1812.61,1816.12,2820302,1797.873,1850.6174999999998,1900.1008,0.013137562270929326
2019-08-20,1814.5,1816.82,1799.88,1801.38,1932834,1799.2279999999998,1840.962,1898.9157999999998,-0.008116203775080821
2019-08-21,1819.39,1829.578,1815.0,1823.54,2039230,1802.2419999999997,1832.0985,1898.1126000000002,0.01230167982324648
2019-08-22,1828.0,1829.411,1800.1,1805.6,2658387,1799.5130000000001,1823.6875,1897.1182000000001,-0.009838007392215187
2019-08-23,1793.03,1804.896,1745.23,1749.62,5277897,1793.7169999999999,1814.016,1894.7046,-0.031003544528134697
2019-08-26,1766.91,1770.0,1743.51,1768.87,3085319,1792.1119999999999,1806.8370000000002,1892.6886000000002,0.011002389090202458
2019-08-27,1775.73,1779.4,1746.68,1761.83,3027244,1785.861,1800.002,1890.2046000000003,-0.003979941996868019
2019-08-28,1755.0,1767.86,1744.051,1764.25,2421892,1785.9900000000002,1794.8754999999996,1887.4622,0.001373571797506079
2019-08-29,1783.0,1798.55,1777.25,1786.4,3018011,1787.018,1791.4294999999997,1885.0144,0.012554910018421461
2019-08-30,1797.49,1799.74,1764.57,1776.29,3064146,1785.39,1789.0819999999999,1882.1764,-0.00565942678011655
2019-09-03,1770.0,1800.8,1768.0,1789.84,3546858,1782.762,1790.3174999999999,1879.7472,0.007628258899166296
2019-09-04,1805.0,1807.631,1796.23,1800.62,2326227,1782.6860000000001,1790.9569999999999,1877.4816,0.006022884727126421
2019-09-05,1821.95,1842.0,1815.575,1840.72,3325188,1784.4039999999998,1793.3229999999999,1876.7305999999999,0.022270106963157232
2019-09-06,1838.22,1840.65,1826.4,1833.51,2496932,1787.1950000000002,1793.354,1875.4442,-0.0039169455430484446
2019-09-09,1841.0,1850.0,1824.61,1831.35,2999514,1795.368,1794.5425,1873.9856,-0.0011780682952370336
2019-09-10,1822.75,1825.81,1805.336,1820.55,2613878,1800.536,1796.3239999999998,1872.524,-0.005897288885248542
2019-09-11,1812.14,1833.42,1809.08,1822.99,2432766,1806.652,1796.2565000000002,1870.54,0.001340254318749956
2019-09-12,1837.63,1853.66,1834.28,1843.55,2823504,1814.5819999999999,1800.2859999999996,1868.7247999999997,0.01127817486656535
2019-09-13,1842.01,1846.121,1835.17,1839.34,1971316,1819.8759999999997,1803.4470000000001,1866.7315999999998,-0.0022836375471237957
2019-09-16,1824.02,1825.694,1800.2,1807.84,3675472,1823.0310000000002,1804.2105,1864.0302000000001,-0.017125708134439477
2019-09-17,1807.08,1823.99,1804.1,1822.55,2033057,1826.3020000000001,1804.532,1861.4347999999998,0.008136782016107569
2019-09-18,1817.04,1822.06,1795.5,1817.46,2536011,1827.9859999999996,1805.336,1858.0179999999998,-0.0027927903212531247
2019-09-19,1821.02,1832.57,1817.9,1821.5,2078334,1826.0639999999999,1805.234,1854.0998000000002,0.0022228824843462114
2019-09-20,1821.71,1830.63,1780.92,1794.16,5555838,1822.1290000000001,1804.6620000000003,1849.9616,-0.015009607466373809
2019-09-23,1777.0,1792.7,1767.32,1785.3,3139141,1817.5240000000001,1806.446,1845.4476000000002,-0.004938244080795573
2019-09-24,1790.605,1795.705,1735.545,1741.61,4637900,1809.6299999999999,1805.0829999999999,1839.86,-0.024472077521985103
2019-09-25,1747.36,1773.0,1723.0,1768.33,3531097,1804.164,1805.4080000000001,1835.0285999999999,0.01534212596390705
2019-09-26,1762.79,1763.37,1731.5,1739.84,3571951,1793.7930000000001,1804.1875,1829.9848000000002,-0.01611124620404558
