AAPL,Open,High,Low,Close,Volume,10 day average,20 day average,50 day average,Daily Return
2019-01-02,37.0286,37.971,36.8657,37.7497,154948399.99502,,,,
2019-01-03,34.4195,34.8311,33.9442,33.9898,381986481.19506,,,,-0.09960079152946899
2019-01-04,34.5496,35.5107,34.3756,35.4397,245171070.60272,,,,0.04265691472147526
2019-01-07,35.5443,35.5759,34.8765,35.3586,229151931.63376,,,,-0.0022883940891147425
2019-01-08,35.7536,36.2929,35.5028,36.0322,171621277.76688,,,,0.019050528018643265
2019-01-09,36.1615,36.9397,35.7695,36.6464,188663076.44837,,,,0.017045864532279298
2019-01-10,36.4559,36.8016,36.0599,36.764,149681344.56232,,,,0.0032090464547678277
2019-01-11,36.5478,36.7394,36.2159,36.4056,113046371.94845,,,,-0.009748667174409809
2019-01-14,36.0579,36.1567,35.6697,35.8603,135702912.14018,,,,-0.01497846485156118
2019-01-15,35.9243,36.6643,35.8732,36.5941,120103956.15821,36.08404,,,0.02046274013323912
2019-01-16,36.5971,37.2628,36.5774,37.0405,127882313.72784,36.01312,,,0.012198687766607375
2019-01-17,36.8588,37.6885,36.6357,37.2578,124750922.70192,36.33992,,,0.0058665514774369765
2019-01-18,37.649,37.7409,37.2845,37.4849,141190719.513,36.54444,,,0.006095367949798369
2019-01-22,37.3874,37.4624,36.4856,36.6444,127147152.96684,36.67302,,,-0.022422362071127466
2019-01-23,36.8462,37.0891,36.2633,36.7896,96762159.541488,36.748760000000004,,,0.003962406261256879
2019-01-24,36.8362,36.9282,36.2732,36.5023,106429684.12838,36.73435,,,-0.007809272185617777
2019-01-25,37.1719,37.799,36.8883,37.7132,140340968.82253,36.829269999999994,,,0.033173252096443395
2019-01-28,37.2431,37.3695,36.7294,37.3616,109569286.40151,36.92487,,,-0.009322995661996236
2019-01-29,37.3497,37.799,36.8362,36.9774,173971980.6652,37.03658,,,-0.010283285512397766
2019-01-30,39.0268,39.7192,38.3069,39.5,255640656.85962,37.32717,36.705605000000006,,0.06822004792116254
2019-01-31,39.7102,40.3987,39.336,39.7883,170426252.73633,37.60195,36.807535,,0.007298734177215271
2019-02-01,39.9126,40.3937,39.6669,39.805,136660687.81229,37.856669999999994,37.098295,,0.0004197213753791562
2019-02-04,40.0175,41.0318,39.9896,40.9388,131755523.6111,38.20206,37.37325,,0.02848385881170712
2019-02-05,41.3242,41.8506,41.1986,41.6361,151024004.98317,38.701229999999995,37.687125,,0.017032741555687902
2019-02-06,41.7449,41.968,41.3212,41.651,118134742.13647,39.18737,37.968065,,0.00035786252795055873
2019-02-07,41.2105,41.5819,40.7196,40.8628,132785067.20402,39.623419999999996,38.178885,,-0.018923915392187518
2019-02-08,40.5685,40.9746,40.4302,40.9121,99220573.551337,39.943310000000004,38.386289999999995,,0.0012064763060779526
2019-02-11,41.0633,41.1009,40.6328,40.6743,87446796.212512,40.27458,38.599725,,-0.00581246135006519
2019-02-12,40.8361,41.0515,40.7414,41.0248,92820618.108937,40.679320000000004,38.85795,,0.008617234961634246
