AAPL,Open,High,Low,Close,Volume,10 day average,20 day average,50 day average,Daily Return
2010-08-19,7.62443,7.64446,7.50056,7.53652,504630914.22373,7.645341999999999,7.7556945,,-0.012603632780974539
2010-08-20,7.52062,7.65771,7.51003,7.52881,453901686.05241,7.613767,7.740133499999999,,-0.0010230185815204296
2010-08-23,7.59312,7.60081,7.39617,7.41386,489343413.58305,7.565709,7.719837,,-0.015268017123556077
2010-08-24,7.32901,7.32901,7.19814,7.23576,711400047.99385,7.506893,7.6833525,,-0.024022573935844393
2010-08-25,7.23576,7.35875,7.15498,7.32574,705546770.2577,7.484936,7.656132500000001,,0.012435459440335084
2010-08-26,7.40337,7.41216,7.24713,7.24713,550921075.31643,7.450220999999999,7.629234000000001,,-0.010730656561657836
2010-08-27,7.28526,7.31704,7.1048,7.28791,649108700.29033,7.427722,7.605697999999999,,0.00562705512389039
2010-08-30,7.26026,7.41216,7.258,7.31399,453142100.12148,7.412196999999999,7.576526000000001,,0.0035785293726184886
2010-08-31,7.29227,7.37611,7.2491,7.33195,497352694.50952,7.385439000000001,7.5481055,,0.0024555680278479652
2010-09-01,7.46491,7.58382,7.42827,7.54995,824029766.47538,7.377162,7.529063500000001,,0.029732881429906044
2010-09-02,7.58145,7.60536,7.4972,7.60536,490876372.44288,7.3840460000000006,7.514694,,0.007339121451135355
2010-09-03,7.68881,7.80438,7.67528,7.80398,615999349.69317,7.411562999999999,7.512665,,0.026115792020364514
2010-09-07,7.7368,7.82788,7.72872,7.77622,405581758.30515,7.447799000000001,7.506753999999999,,-0.0035571592956413767
2010-09-08,7.83419,7.97346,7.81406,7.9292,622422529.49921,7.517143,7.512018,,0.019672797323120994
2010-09-09,7.99539,8.03875,7.9292,7.93376,518200306.04798,7.577945,7.5314405,7.648435399999999,0.0005750895424507796
2010-09-10,7.9379,7.97691,7.88347,7.94403,458759797.07324,7.647635000000001,7.548928000000001,7.655593799999999,0.0012944681966682303
2010-09-13,8.02176,8.09139,8.01554,8.05376,459675661.97249,7.724220000000001,7.575971,7.6667742,0.01381288842061279
2010-09-14,8.02837,8.11796,8.00833,8.08516,479953609.37486,7.801337000000001,7.606767,7.679529,0.0038988000635726827
2010-09-15,8.08289,8.15471,8.07845,8.14974,505959211.54307,7.883115999999999,7.6342775000000005,7.692536199999999,0.00798747334622929
2010-09-16,8.15144,8.34394,8.12821,8.34127,769869220.0825,7.962248,7.669705,7.703351399999999,0.0235013632336738
2010-09-17,8.36981,8.38275,8.25396,8.30503,750679781.33053,8.032214999999999,7.7081305,7.713763600000001,-0.004344662143774158
2010-09-20,8.32725,8.55855,8.32004,8.54235,779729895.27648,8.106052,7.7588075000000005,7.7280038,0.028575453670847795
2010-09-21,8.55974,8.6667,8.52863,8.55855,789196616.90033,8.184285000000001,7.816042,7.7439702,0.0018964336511615443
2010-09-22,8.53237,8.68537,8.51716,8.67847,692431795.53777,8.259212,7.8881775,7.765642000000001,0.01401171927487721
2010-09-23,8.64052,8.82976,8.62553,8.71371,929391194.67568,8.337207000000001,7.957576,7.7874634,0.004060623589181134
2010-09-24,8.80655,8.85337,8.76251,8.81634,767272595.89818,8.424437999999999,8.0360365,7.8121238,0.01177799123450285
2010-09-27,8.86682,8.88825,8.77671,8.7813,571354895.68095,8.497192,8.110706,7.8370036,-0.003974438372385869
2010-09-28,8.79737,8.79993,8.29425,8.6517,1224674978.6301,8.553846,8.1775915,7.8619048,-0.014758634826278594
2010-09-29,8.66078,8.74047,8.62553,8.6672,555367971.93572,8.605592,8.244354000000001,7.883291799999999,0.0017915554168543846
2010-09-30,8.71589,8.7464,8.48201,8.55775,796683960.1731,8.62724,8.294744,7.9011092,-0.012628069041904944
2010-10-01,8.63538,8.6435,8.48517,8.52112,530585550.97244,8.648849000000002,8.340532,7.915299799999999,-0.004280330694399925
2010-10-04,8.49603,8.53237,8.3773,8.40409,514620377.41378,8.635023,8.370537500000001,7.926581,-0.013734110070037664
2010-10-05,8.51569,8.72973,8.50009,8.71441,591682545.93495,8.650609,8.417447,7.944473400000001,0.036924878243807635
2010-10-06,8.73743,8.80625,8.60368,8.72231,792120613.69077,8.654993000000001,8.457102500000001,7.959610600000001,0.0009065444476445972
2010-10-07,8.75677,8.76082,8.65307,8.72329,482562190.99812,8.655951,8.496579,7.976673599999999,0.00011235555718602797
2010-10-08,8.79915,8.88133,8.7464,8.86976,777724003.00043,8.661293,8.5428655,7.9983668,0.016790683331632694
2010-10-11,8.8904,8.96419,8.88458,8.90798,505319084.57837,8.673961,8.5855765,8.0213538,0.004309023017533775
2010-10-12,8.90928,9.0328,8.82118,9.00407,659474469.45012,8.709197999999999,8.631522,8.0434866,0.010786957312432177
2010-10-13,9.04922,9.10641,9.04221,9.05229,736322591.71432,8.747707,8.6766495,8.0665252,0.005355355966801589
2010-10-14,9.09525,9.12301,9.06,9.11807,513248735.64388,8.803739,8.7154895,8.090270799999999,0.00726666953886812
2010-10-15,9.27225,9.50138,9.1964,9.49348,1086131702.9233,8.900974999999999,8.774912,8.122285399999999,0.04117209014626999
2010-10-18,9.60509,9.6209,9.48064,9.59027,1276945715.0783,9.019593,8.827308,8.1571996,0.010195418329211225
2010-10-19,9.15275,9.46483,9.04873,9.33544,1454575446.9542,9.081695999999999,8.866152500000002,8.186019600000002,-0.026571723215300547
2010-10-20,9.32063,9.47865,9.25545,9.36608,849997392.38448,9.146073,8.900533,8.2168628,0.0032821163223157868
