AMZN,Open,High,Low,Close,Volume,10 day average,20 day average,50 day average,Daily Return
2010-10-06,160.6,160.68,154.6,155.4,6060795,157.40699999999998,152.17399,137.168196,-0.03400261080375455
2010-10-07,156.51,157.4,153.39,156.27,4635899,157.74899999999997,152.96849,137.950996,0.005598455598455621
2010-10-08,155.18,156.28,152.78,155.55,6922013,157.23100000000002,153.62399,138.724796,-0.004607410251487809
2010-10-11,154.89,156.63,152.34,153.03,4486389,156.597,154.02199000000002,139.427596,-0.016200578592092674
2010-10-12,152.51,156.95,151.4,156.48,5289792,156.275,154.55849,140.155796,0.022544599098216045
2010-10-13,156.69,156.79,153.85,155.17,5637812,155.89299999999997,155.04449,140.810796,-0.008371676891615554
2010-10-14,155.16,156.9499,154.23,155.53,4032908,155.74,155.41449,141.369796,0.002320036089450417
2010-10-15,158.42,164.88,156.75,164.64,10135459,156.833,156.23024,142.105996,0.058573908570693556
2010-10-18,165.0,165.19,161.82,163.56,6338543,157.65,156.84300000000002,142.81079599999998,-0.006559766763848285
2010-10-19,160.68,162.8,157.0,158.67,7531853,157.43,157.23999999999998,143.40759599999998,-0.02989728539985337
2010-10-20,158.78,159.87,156.57,158.67,5790386,157.757,157.582,143.980996,0.0
2010-10-21,162.67,166.13,161.29,164.97,13585338,158.627,158.18800000000002,144.762596,0.03970504821327281
2010-10-22,162.45,170.17,162.27,169.13,16322249,159.98499999999999,158.608,145.61399600000001,0.025216706067769934
2010-10-25,171.57,171.99,168.32,169.0,6534223,161.582,159.0895,146.500196,-0.000768639508070712
2010-10-26,167.57,171.0,167.5,169.95,4693642,162.929,159.602,147.377796,0.005621301775147858
2010-10-27,168.91,169.75,166.54,167.51,5729133,164.163,160.028,148.150796,-0.014357163871726919
2010-10-28,168.31,168.49,165.05,166.84,4688209,165.29399999999998,160.517,148.89459599999998,-0.003999761208286046
2010-10-29,165.8,168.5,164.81,165.23,4998464,165.353,161.09300000000002,149.647796,-0.009649964037401149
2010-11-01,164.45,164.58,161.52,162.58,5245248,165.255,161.4525,150.34419599999998,-0.016038249712521768
2010-11-02,163.75,165.94,163.36,164.61,4264709,165.849,161.6395,151.104396,0.012486160659367807
2010-11-03,165.4,168.61,162.29,168.47,6119679,166.829,162.29299999999998,151.983196,0.02344936516615026
2010-11-04,169.86,172.53,168.4,168.93,7402047,167.225,162.926,152.824796,0.0027304564610910464
2010-11-05,169.35,171.65,168.59,170.77,5218667,167.38899999999998,163.687,153.74299599999998,0.010892085479192515
2010-11-08,170.84,173.2,168.78,171.99,5710954,167.68800000000002,164.635,154.64999600000002,0.007144111963459654
2010-11-09,172.67,173.14,169.06,170.27,3980866,167.72,165.3245,155.579596,-0.010000581429152833
2010-11-10,170.59,173.37,169.41,173.33,5450044,168.302,166.2325,156.549596,0.01797145709755088
2010-11-11,171.0,172.05,169.4201,170.37,5697866,168.65500000000003,166.9745,157.30719599999998,-0.01707725148560557
